Category,Commons,Link
music,File:02 Towards Infinity.ogg,https://upload.wikimedia.org/wikipedia/commons/0/09/02_Towards_Infinity.ogg
music,File:1 Emergence - Michael David Crawford - Geometric Visions 1994 - Ogg Frog q6.ogg,https://upload.wikimedia.org/wikipedia/commons/c/cf/1_Emergence_-_Michael_David_Crawford_-_Geometric_Visions_1994_-_Ogg_Frog_q6.ogg
metronom,File:1-4 v0.3.1 rhythm metre meter time measure.ogg,https://upload.wikimedia.org/wikipedia/commons/0/09/1-4_v0.3.1_rhythm_metre_meter_time_measure.ogg
music,File:1st SS Panzer Leibstandarte.ogg,https://upload.wikimedia.org/wikipedia/commons/9/9e/1st_SS_Panzer_Leibstandarte.ogg
music,File:2009-05-29MedBoogie.ogg,https://upload.wikimedia.org/wikipedia/commons/4/4d/2009-05-29MedBoogie.ogg
music,"File:Ada Jones and Billy Murray - Shine On, Harvest Moon (unrestored).ogg",https://upload.wikimedia.org/wikipedia/commons/7/7b/Ada_Jones_and_Billy_Murray_-_Shine_On%2C_Harvest_Moon_%28unrestored%29.ogg
music,File:Adagio sonate rem Finger.ogg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Adagio_sonate_rem_Finger.ogg
music,File:Apollo-Ave Maria.ogg,https://upload.wikimedia.org/wikipedia/commons/7/73/Apollo-Ave_Maria.ogg
music,File:Ave Maria (USNB).ogg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ave_Maria_%28USNB%29.ogg
music,File:Franz Schubert - Ellens dritter Gesang.oga,https://upload.wikimedia.org/wikipedia/commons/6/6f/Franz_Schubert_-_Ellens_dritter_Gesang.oga
music,File:JOHN MICHEL CELLO-BACH AVE MARIA.ogg,https://upload.wikimedia.org/wikipedia/commons/d/d4/JOHN_MICHEL_CELLO-BACH_AVE_MARIA.ogg
music,File:Schola Gregoriana-Ave Maria.ogg,https://upload.wikimedia.org/wikipedia/commons/2/23/Schola_Gregoriana-Ave_Maria.ogg
music,File:A Centipede was happy quite Composed and performed by David W Solomons.ogg,https://upload.wikimedia.org/wikipedia/commons/2/22/A_Centipede_was_happy_quite_Composed_and_performed_by_David_W_Solomons.ogg
speech,File:Maciej Zatonski voice - pl.oga,https://upload.wikimedia.org/wikipedia/commons/9/96/Maciej_Zatonski_voice_-_pl.oga
speech,File:Tomasz Witkowski voice - pl.oga,https://upload.wikimedia.org/wikipedia/commons/8/82/Tomasz_Witkowski_voice_-_pl.oga
speech,File:AC Grayling BBC Radio4 Desert Island Discs 10 Aug 2008 b00cx1ds.flac,https://upload.wikimedia.org/wikipedia/commons/5/5c/AC_Grayling_BBC_Radio4_Desert_Island_Discs_10_Aug_2008_b00cx1ds.flac
speech,File:Adil Ray voice.flac,https://upload.wikimedia.org/wikipedia/commons/7/7a/Adil_Ray_voice.flac
speech,File:Adrian Goldsworthy - voice - en.flac,https://upload.wikimedia.org/wikipedia/commons/4/47/Adrian_Goldsworthy_-_voice_-_en.flac
speech,File:Adrian Lester bbc radio4 front row 25 04 2013.flac,https://upload.wikimedia.org/wikipedia/commons/1/16/Adrian_Lester_bbc_radio4_front_row_25_04_2013.flac
speech,File:Alain de Botton - voice - en.flac,https://upload.wikimedia.org/wikipedia/commons/9/95/Alain_de_Botton_-_voice_-_en.flac
music,File:Gregorian chant - Procedamus in pace - Cum angelis - Psalm 24 (23) (German-Polish accent).ogg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Gregorian_chant_-_Procedamus_in_pace_-_Cum_angelis_-_Psalm_24_%2823%29_%28German-Polish_accent%29.ogg
music,"File:Ole sad på en knold og sang, Erik Damskier.ogg",https://upload.wikimedia.org/wikipedia/commons/d/dd/Ole_sad_p%C3%A5_en_knold_og_sang%2C_Erik_Damskier.ogg
